# nrx - https://github.com/NikolaiRuhe/nrx
# copyright 2016, Nikolai Ruhe

# Invalid Syntax

empty                                  #                                              #   PARSER_ERROR
greaterOrEqual operator                #   1 >= 2                                     #   (1 >= 2)
lessThan operator                      #   1 < 2                                      #   (1 < 2)
lessOrEqual operator                   #   1 <= 2                                     #   (1 <= 2)
addition operator                      #   1 + 2                                      #   (1 + 2)
subtraction operator                   #   1 - 2                                      #   (1 - 2)
multiplication operator                #   1 * 2                                      #   (1 * 2)
division operator                      #   1 / 2                                      #   (1 / 2)
modulo operator                        #   1 % 2                                      #   (1 % 2)
call operator                          #   a()                                        #   (a())
call operator                          #   a(1)                                       #   (a(1))
call operator                          #   a(1, true, $a, "foo")                      #   (a(1, true, $a, "foo"))
malformed call operator                #   a(                                         #   PARSER_ERROR
malformed call operator                #   a(,)                                       #   PARSER_ERROR
malformed call operator                #   a(1,)                                      #   PARSER_ERROR
malformed call operator                #   a(1;)                                      #   PARSER_ERROR
access operator                        #   a.b                                        #   (a.b)
access operator                        #   a.b.c                                      #   ((a.b).c)
access operator                        #   1.b                                        #   (1.b)
access operator                        #   1.0.b                                      #   (1.b)
malformed access operator              #   a.0                                        #   PARSER_ERROR
malformed access operator              #   (a.)                                       #   PARSER_ERROR
subscript operator                     #   a[1]                                       #   (a->[1])
subscript operator                     #   [0][1]                                     #   ([0]->[1])
malformed subscript operator           #   a[a b                                      #   PARSER_ERROR


# Precedence
# In these tests correct binding of operators is assured. This means that 1 + 2 * 3 resolves to
# 1 + (2 * 3) and not (1 + 2) * 3.
# The rules for binding power are expressed as operator precedence and associativity.

precedence                             #   1 + 2 * 3                                  #   (1 + (2 * 3))
precedence                             #   (1 + 2) * 3                                #   ((1 + 2) * 3)
precedence                             #   1 + 2 - 3                                  #   ((1 + 2) - 3)
precedence                             #   1 + (2 - 3)                                #   (1 + (2 - 3))
precedence                             #   a * b + c * d % e - f                      #   (((a * b) + ((c * d) % e)) - f)
precedence                             #   -a+b                                       #   ((-a) + b)
precedence                             #   -a.b                                       #   (-(a.b))
precedence                             #   --a.b                                      #   (-(-(a.b)))
precedence                             #   --a % b                                    #   ((-(-a)) % b)
precedence                             #   (-a).b                                     #   ((-a).b)
precedence                             #   a.b.c                                      #   ((a.b).c)
precedence                             #   a[1].m(2)                                  #   (((a->[1]).m)(2))
precedence                             #   a[1 + 2]                                   #   (a->[(1 + 2)])
precedence                             #   -[1][0]                                    #   (-([1]->[0]))
precedence                             #   [-1()]                                     #   [(-(1()))]
precedence                             #   [[a]()[b],[c]]                             #   [(([a]())->[b]), [c]]
precedence                             #   a + b contains c + d && e                  #   (((a + b) contains (c + d)) && e)
precedence                             #   a ? b ? 1 : 2 : c ? 3 : 4                  #   (a ? (b ? 1 : 2) : (c ? 3 : 4))
many operators                         #   a || b && c == d != e > f >= g < h <= i + j - k * l / m % n ? 1 : 2 #   ((a || (b && ((c == d) != ((((e > f) >= g) < h) <= ((i + j) - (((k * l) / m) % n)))))) ? 1 : 2)

complex expression test                #   ((["1", "2", "1234", $foo, [], "Hello, World!", "\"", "1️⃣"] map element : NUMBER(element)) where each: each % 2 == 1).count # (((["1", "2", "1234", $foo, [], "Hello, World!", "\"", "1️⃣"] map element : (NUMBER(element))) where each : ((each % 2) == 1)).count)
